iter	Passed	Remaining
0	1	170
1	3	151
2	4	145
3	5	139
4	7	137
5	8	134
6	10	133
7	11	133
8	12	131
9	14	128
10	15	128
11	17	126
12	18	124
13	19	122
14	21	119
15	22	118
16	23	116
17	25	115
18	26	113
19	27	111
20	29	110
21	30	108
22	31	106
23	32	103
24	33	101
25	34	99
26	36	97
27	37	95
28	38	93
29	39	91
30	40	89
31	41	88
32	42	86
33	43	84
34	44	83
35	45	81
36	46	80
37	48	78
38	49	76
39	50	75
40	51	73
41	52	72
42	53	70
43	54	69
44	55	67
45	56	66
46	57	64
47	58	63
48	59	62
49	60	60
50	61	59
51	62	57
52	63	56
53	64	55
54	66	54
55	67	52
56	68	51
57	69	50
58	70	49
59	71	47
60	72	46
61	73	45
62	74	44
63	76	42
64	77	41
65	78	40
66	79	39
67	80	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	86	30
74	88	29
75	89	28
76	90	26
77	91	25
78	91	24
79	93	23
80	94	22
81	95	20
82	96	19
83	97	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	103	11
90	104	10
91	106	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
